id,ysws,approved_at,hours,country,github_username,code_url,demo_url,description,screenshot_url,github_stars,display_name,archived_demo,archived_repo
recvJXVXvEejRNijX,Highway,1775433600,9,United States,Githubuser1122bruh,https://github.com/Githubuser1122bruh/LazyPad-HACKPAD-/blob/main/README.md,https://github.com/Githubuser1122bruh/LazyPad-HACKPAD-/blob/main/README.md,"A HackPad for #hackpad, it has 4 keys and a PCB made in KiCad, the case is designed in Onshape!",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/2dTXK6NG4DoYLgfjlButdA/gvL7MNSUUXg3sSyiApN4ACnsKrrb6rnX7BfKYoqFO2AU2ZOHmAX_XU54-YuS7DRPUQtX8wVoviSMLOH92WCos6ayO6G-6A329QOq-5LlGAYqP0cqnss0oSIqqtxI5EUoCezMI3ECMPBkCZaYh0FiSMVXJqpz1dbCJywypbjr10WR_yuWlJF38Bu1CL0TZ94D/7NfCQ_JqWEcCRWdu6L_fK3RxzOrXGotELj_V-dRR6_w,0,samhith (dont ooc),,http://archive.hackclub.com/52WPT
recVQUWye5HD6ihDL,Highway,1775433600,30,United States,Rikhav21,https://github.com/Rikhav21/Recycliment,https://github.com/Rikhav21/Recycliment,My proect is a filament recycling system.,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/yR3clFRU_m3KOXGayeoKMw/uBc1XdeAnFo1U1eHLEpT4BC5JeztukqBlTfi4SC9KWjr5G2GtRu2TncMfi9BfXgTE3Sgh-6juUHDAVdZCEQz-ivYzVcW1uJ7T5aVPEVyn-9h2uH5qtFyMrG9goxR0Be5xufAI_X5sOALxzcu1wMYJr7rsfjsgaRRqTkWzX8VJmKuWryAVtyOGFI2xes6YU0Q/5iy2kpETFvHIdIbrqdHqyzQLGbquv0UEFFe7bg6N5EY,1,,,http://archive.hackclub.com/l0kLQ
recWyIdkZjHLkXUxx,Highway,1775433600,4,Spain,lucas11222,https://github.com/lucas11222/Lucas11-Dev-Board,https://github.com/lucas11222/Lucas11-Dev-Board,An Fast prototyping board for,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/5yNSh-cJrjmbeWwmYacumg/Hq5Kh0KJXGP_n74VYJhdJAhTmbLhpqVWO-abk4JPQ6_cVoLxVo7HCp0mtIL5bS1w6XoLdYUFGsKxqTvq02BVtPGBBuZKH-GtWBzNYYxgL0wbStdQAgPtFyA9YjvApX9CRhNLDwIL5JliesqGldKSNXg4DOfIFTggS9Fa55pVbpo/7IBYIlELWL_Jeu50fKC-0AZ0Z9gN4FVSOlS-_H1otpI,0,Lucas11,,http://archive.hackclub.com/GW8sw
recWysLzWhP44uYZL,Highway,1775433600,12,US,Cyclic007,https://github.com/Cyclic007/miniMagicMacroMachene/tree/master,https://github.com/Cyclic007/miniMagicMacroMachene/tree/master,It is a mecanical Macro pad that is built to be used with AutoHotKey,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/9cSOLl7Us5yk_aEf6ZHeAw/FywDB8WSFXHkG5VvcUQmEpOtT_TZVDBWgYp5Pr0k4Bw9ajVSuc1MHZXbWL6FQFR-OPci9ZZD8QpOSl9WtHJsdeM0ShsV83USypdmIcedwgKs5DBQf6GDyrxx-3HUa-y8TMrJtactZmcKB7xw00soOstZ2wmaYjSJyXi3oYdx9fsha3SwplIUinhMD6BxJ8lH/SYXD3NaSY7CDjekZAAs7IAMPI1VxOYUk0ajwLL35vfc,0,,,http://archive.hackclub.com/UD89m
recpv29lswgOPftrz,Highway,1775433600,3,Spain,lucas11222,https://github.com/lucas11222/Lucas11-GeometryPad,https://github.com/lucas11222/Lucas11-GeometryPad,This is a keyboard for the game Geometry Dash,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/oCrbMJvbaWdziNbj_A3fdQ/J5_BKXnIa-P0ZbeVE4YRQ1vS2JQh1pv1JMugXpJmFJ8zKhaZ0KsSW-h9GfQgsbzmRGBCzBhDmYZNi1zSLnY6vKk4s9YT4sYje3Xrp1K99-QVd1F4EwVB4yaKnwiyUI3RbmkIJyomubL2ZSpxyks8hU3G3EsFoRqbL1kRbca_yGrdB6P8jX_GN7LATUztZOpV/rsp_sfb-dj2MYDWWUFjiHZb7DEMEyYud-4uatjV-JdI,1,Lucas11,,http://archive.hackclub.com/TmOrT
recZjcFMjNkWzRwFr,Highway,1775433600,15,Pakistan,MoeezAnwar,https://github.com/MoeezAnwar/Macroboard-v2,https://github.com/MoeezAnwar/Macroboard-v2,Designed Macroboard from scratch . Used Esp32 and made macroboard hot swapable,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/qsFOJLR3rkYfHuV1CVlAxQ/9HaOtL2c4BZn1EJ7onFv60h5BAUVGlAyAcYg6EJ9PkfFu_noicFnW08YbWX0M-XCln5U1CbE3BXXvZCVbMDszdOVAe9vU3lPQXyro7pempF4ppxCcImYqNyZpqoCTsMj0Ww_4vj-smTDuOCeSwUfmpnXipASoRnS6efAD9mSJsU/me5hlfhwjVTNEkckKvT3tvBGjbZwJwKBw3MSsoLitzU,1,,,http://archive.hackclub.com/Eivxf
reclhhZVzAI4K2nSu,Highway,1775433600,18,United States of America,samatua1221-2896,https://github.com/samatua1221-2896/Numberpad/tree/main,https://github.com/samatua1221-2896/Numberpad/tree/main,This is a custom hackpad that is basically a standard numberpad. This is my first project that I've tried to make for Hackclub,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/hI08WsgX-nX-Ytv45vvQAA/yAxmrIaO-oTT2Ajz1UGXc0IcCq1lldZFJIuzs5g_RydDy6s7Cg_Xj7rZiIVNrqYW9WYDuw1Iz8LxDRCXOW0qarDFMj3fUHKZetQI9re1F0BFHoxeTbOHB_Vt1fCucXVvhqSL7vPzZ6gp3PJvEa4kdaQwD_cRaE5MzM4ja-Wdz7I/1WkxNoquWzUpXGXeVrW3i4rqwehv29pWMG7IoCtFC1Y,0,,,http://archive.hackclub.com/RBKba
recbUza5CwRDjUt7o,Highway,1775433600,9,United States,giragon6,https://github.com/giragon6/phrogpad,https://github.com/giragon6/phrogpad,"a macropad with 5 keys and a rotary encoder for common functions (vol up/down, browser back) this is my first hardware project like ever so please excuse all my dumb mistakes 😭",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/sgGKadl2ibqvolZefqRbMw/OFZDzTc2egVBymDoZOL-WnLdBxFaIRvucLjj3hsd7DCgX7bVE6jBXN77Nfq_XeEks8Jfrcl1kthnm2_sJ3UGnOhGVAuunqOeLpSrqqv1e2EDoepU3gg7TxzdbFcboLOyDBH8IXazTZsRnRUEYF81Zv43093f8PX7DehlaJ1_NbAPGlW1ffW4HEXaXRGsS5PB/y1tUAShtSTB3kZKwOS4Ls3-xclFkOSwV7L6VYaQpzTQ,0,,,http://archive.hackclub.com/ytp3V
recEF7s8vDBZvAL2W,Highway,1775433600,12,United States,Cyberbrainiac1,https://github.com/CyberBrainiac1/DailyPad/,https://github.com/CyberBrainiac1/DailyPad/,"DailyPad is a customizable macropad designed to enhance daily productivity. Built with open-source tools and hardware, it's perfect for developers, makers, and anyone looking to streamline their workflow. Right now it is programmed to take me to the websites I use the most in my daily life.",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/VIGbh4JMtsMdx82doCmyHg/fo6DlS0I_5N5PfDEn7PWQV_xkvklW81VHPdSnzQTzm2wjph7n6DKYrBwRXcHC7i23wwrcJ4dVibMHddAIjDRmCxIW6I7m-9vsRyAeK5YS917eoSM96DLUx7HGp0iU5Ahjdi7oUY5DnuLtQ8mHOj_uYfToyElwtRqcakuF5fVAWPbOvaw6YVZxC6Em0V89oqa/Y4G6FTtRCV1k2qEP1Mnc97217UxqJ1DB9u28-lI2JBg,0,,,http://archive.hackclub.com/P6GeW
recrlXxx2X1JZGHUE,Highway,1775433600,8,Singapore,mynameisashllee,https://github.com/mynameisashllee/celestepad,https://github.com/mynameisashllee/celestepad,a macropad for playing the platformer celeste! (the basic keys anyway..),https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/7OgMtZ3nGzxkn2b3r-300g/OLwKG71yDX1scVlyzQeARTNbrBm1KhbDJ7J7C_bzIH7oHBGYfsgEtoZdKRPT7Ep9gnBR7XEJnZj5kjAfrfgR8jTfXWVdOzN1OHfPVonQ5MkG1NmJfjAv7PDO33URJhf7KFSAq56uc17d7oZCn0SGKn_zqXuEDoWiMaIaO1qwAG1TK8nTHs6jlWK8N7KFKpiy/dWz5HlGB_mbPKxNmBzndUdpSmyi3eRY8oIoiviv3GsM,0,,,http://archive.hackclub.com/YNpLK
