id,ysws,approved_at,hours,country,github_username,code_url,demo_url,description,screenshot_url,github_stars,display_name,archived_demo,archived_repo
rec5xMW4btKh2H4YP,Stasis,1776038400,11,PK,,https://github.com/Kshfiii/Esp32-Xiao-Cam-with-touch-screen,https://github.com/Kshfiii/Esp32-Xiao-Cam-with-touch-screen,"A digital camera built around the Seeed Studio XIAO ESP32-S3 Sense microcontroller. It displays a live camera feed on a 1.28"" round touchscreen, captures photos to a microSD card with a button press, and lets you browse your shots through a swipe-based gallery; housed inside a custom 3D printed case. It's for people who are interested in a simple hardware build that actually serves a function.",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/U9QQfViEt2AX92UISFUKcw/kH8XcnYcCWgCngHyvIvqJsMgGaDSjOLV1JMOzvYGoUs6Ucdf8YN9n_DVJRQzweIDLSggGA_-hwCyxEV5GOW9HcmQRpGO-32z40l-AN7z3B_ZPYZ8uoJnosn-bxw_-VljcUtVZf-Q2sqlG6j_a_bTxcmSzpmcry2-VThSMpxgTlvKfxfK20_Dnlg94ZuKEhgR/gvTq3rGaFEDihuCRNAVfO12dcBtXAlszYvmHJGg5HVo,0,,,http://archive.hackclub.com/L1agr
recSLkyI02oXpShSf,Stasis,1774915200,5,PL,,https://github.com/PriX-Y/PKS-Blinky/blob/main/README.md,https://github.com/PriX-Y/PKS-Blinky/blob/main/README.md,BLINKY!!!!,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/Rp_OteP0Hppp6WafIEnPhw/7iRenRo0I3OX7uIKmoj8Nq5VD9ezAlZrd8L2krbWi7kyc6QrRY-OqqiMR9raGxuMHclwbdaNxCklxazLgYPm_L_vJSwZJTZd_uKZymNj0mnNWh2YZ5O1giEJqbVi61_0P6tkx-wXm6DXfoIWRtSzInv3EOYSvCYFFNzdbLaWWAFMsod9zCyvxu1s-frjAO6i/q7fnK04Ik2xw4TmIbk5-GHehcqx1071JLTtiEgziAYI,0,,,http://archive.hackclub.com/dJsYD
recSvpKiJiPeIkjuU,Stasis,1774915200,25,IN,,https://github.com/thagreatjoel/SeedPi,https://github.com/thagreatjoel/SeedPi,"A Single Board Computer designed through EasyEDA, Built with RK3308B processor, designed for learning hardware design and building iot projects.",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/L2c6wXKWkLxYKdSYZ6KVDA/fKDHd6X6ptWbprsgTXyDmT32FuldLSG9iJfKDjB_SiERu0cE0M_uqA2eFEcCWLItN-J0FgZpSwRSAGcIt4wO-0-SPbq9zr1FTAlDTDP7u5txs0jAuU2l1s9JS5D3mfKq1aIxSg-Bg8SJZ97HyzzpMP0ZaQtzpYjk00xQWpFR738kR9hMUcWITx2rqnIpJW-b/bYcmDPLGdIHrckzMF9uPUHwABmqmAJ8aZWgCjwoztEo,1,,,http://archive.hackclub.com/KlGnz
rec80jc6B6GDnr2IE,Stasis,1776124800,6,CA,,https://github.com/Ninjadude01/Arduino-Uno-Enclosure,https://github.com/Ninjadude01/Arduino-Uno-Enclosure,"A box that protects your arduino, but still allows you to use it. It is parametric, which means its dimensions can be easily changed if you wanted it to fit a pcb with different dimensions",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/1EYUTV8VXID6JB5pHeLi5Q/x8Tllfy6ikMwgYv7osrMpHSYxub6J8m_tlxfZ3hHnhKS2Uup-KaSsbmH5rTN8peurWSkvgDOnNa8MZfCH4GWS7ioOvEtFIwkJpopV9Qu3lrBEqSQVRfj6uAeGpbNOWEaC8nre5lkZibvo6luT5jMM69gtn-G2_tc6n7jsRXBIueiYgsg8BN_DNGIQTmTOHJa/TbPsOUItkaZK7pkY8R7miE_VR_76IZ_L-k67yHNbui0,0,,,http://archive.hackclub.com/ddcjj
recUfQk16MNIsXdRg,Stasis,1775606400,5,US,,https://github.com/amkhan2009/The-LED-Chaser/tree/main,https://github.com/amkhan2009/The-LED-Chaser/tree/main,Pcb that go blink blink,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/NvW7C7d85P0A1olPhxwWTg/u4C41Re6XTbNEC8Tk54XNUmOptJbdYFEqDF5BlfNMvUHRlmcTQE9Y3GjdiHUP4yVpqkWay03GjU-nVxc37bjVQ_0OyIizcBxLO8eIPUviOZUdA8PADk0CkAFGy87LHGvATeJAs4YF0kXnAZrcj4bObh2B9VkV-gAd_gN1X3AEO6FyIql7Ry6GoLvdRDUVHvE/K7keIJ3bSddZwzbMF5A065zD0aVyhD1yNCYPDTUSSW0,0,,,http://archive.hackclub.com/igftJ
recYV1unfDCmKHibY,Stasis,1775779200,4,IN,,https://github.com/Rvbrothers11/Lit-Up-Batarang,https://github.com/Rvbrothers11/Lit-Up-Batarang,Batman is a superhero I've always found interesting. His abilities purely rely on engineering and adhere to the laws of physics. This lit-up Batarang project pays tribute to the Dark Knight series by using a batarang-shaped PCB with 10 LEDs that light up sequentially.,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/xkAGgGLOaRwNLU5Ujc1eYw/G5sD_eGfEKYo1uR_mmUTInH5Nu7Sr2QW7hsqyhWD-6mfGJUIRb_mxiTIJNgFcX_XhUgDWFfR6dtejufW-PNDz3BqYQNvqIwgcSEs6RCdg7UmaL4v_jKjR_l-rfZ2yZHzMXRUAUKJ_vug0qwwbrfBRhO9V0PPbplPFD70mo2zivGwxFV08WAFFHRUFqjaF5xg/5QpOx4UT89LmwJVwJBz68R0Y21fgH9u1YqgLKwtemC0,0,,,http://archive.hackclub.com/aHhkt
recVKVuwieNIm8dxR,Stasis,1775606400,3,US,,https://github.com/Randomcoder323/Mega-Ramadaan-Lantern,https://github.com/Randomcoder323/Mega-Ramadaan-Lantern,"This is a Fanoos, an Egyptian style lantern. It is connected by magnets and has RGB lights mounted in the top!",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/ZB7755NgaC-uB3jo9zTAvg/jIcx4ECiPXNxeoS6hGnd8CLoTxBz8MHgU3aPFgEnZNliFuBv2qgHXTdDKoNQUOC9Xx_-p6f78OHnMN6-kl50Cnt3X6cI94mRGZFfgTrjExXUP5zycoeIfTwab9azYNkmt4Wi4SuVpAcvKjjYoQl8sZmGuIzFHVy3UzLiAehNdNi_xY7oRgjyHXCrSQgltscf/yoKgtJ3uxRVk-jm8rAAQq9nC4lsa0DpneuBj7RrabgI,0,Burst,,http://archive.hackclub.com/sOVA1
recWnzYZRHOBX2EYo,Stasis,1776211200,3,US,,https://github.com/Sushmita-Jacob/blinky-board,https://github.com/Sushmita-Jacob/blinky-board,A lightbulb shaped LED chaser,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/E5gocKxZLjGPL6MagLFytQ/xcIjuyS4NglmQGjKkcBFbP21PLm_kDOoze08QzMgxtp4VDkN6Ydo46T_8yHycbvrMbWzSFha3INfvHlp81Ogzq0sYfDwCUZ4zZj9m7TUprohSsDYVFEEykGBfLddaT_g5bIfVeO2zESP3vMVKU09Nn0ypysoa_z0z9714roOdh5IsMtUa9UeTCMH6tCm45Dz/60IYqrZLa3PMGxlkdwueBHsCt2pXtDvSbcaHHBJaqR0,0,Sushmita,,http://archive.hackclub.com/LUzHC
recGSQ6NsNZDSjoh6,Stasis,1775606400,5,LK,,https://github.com/DevX-Dragon/Blinky-2.2,https://github.com/DevX-Dragon/Blinky-2.2,An Blinky Board I made for fun.,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/DEIQpXaRmS1cPBMfdbdK-A/Oxlkrh83CMvpBKuU9NpMmCfYGATJMxcz_XVjw960PJTrZwsmTFY-8FL05ZDw3t-TbfE7El5h05edRn9vYOsbmTcAbBTN65rqwx4wK-dRP4SpR25ZfUNOPt40YDh5Kw08LvMmbKzIFvN0myczs8UWjejkkRY4aN4SAv0SF03AgkF-V61jkzfBiTPEMOY0tDnq/_POtyXhqn4WDe-wb7xeBjtOAiAruzwsrnoIdiwI7M1g,0,,,http://archive.hackclub.com/TJQBf
recVmYOZGy6bQrmJl,Stasis,1775779200,5,SG,,https://github.com/bacasss/stasismemgame,https://github.com/bacasss/stasismemgame,(hopefully) pick up the basics of pcb making before i move on to a project ive been wanting to do :D,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/nmeYEaXm2ZyMJ66CxQOyZA/sm1tLFmMI0MZ1-8yv-fQURh74V3R68VjI2jT-uHkbfvuURQ_RT-e2cxUQJ0fHwIGogLxpER1HtCr15GpuwsuzU6IsTB9e-NMp64U9qTDV669JcvkZt45AajNWb_aeJk4_lZL74VGXCZJSS2g5bsnk83Z8FUw_DhZTFXop1lUskOxnYi_wRAIvmWVmsdjtCeB/6spZ9L5a3RcHyeOwFM4SElzXCaET-LJrmfo9QGbXkGk,0,bacasss,,http://archive.hackclub.com/dMbME
